Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71567237,11.2427294,10.90026799,7.171260735,22.38201578,2.179103285,-2.107082554,9.437794773,10.56113929,8.304760856,3.877905972,0.595758459,2.432017315,5.123374914,4.873436868
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.177360497,-0.017694287,-0.016747291,-0.028354047,0.351197543,-2.378001116,2.86E-05,1.35E-06,-1.87E-06,-0.468707384,38.56834211,249.6834375,114.8356476,38.41649482,5.573307455,41.27559451,12.08870589,8.432367822,1.533330791,3.981288045,3.328851082,2.410589719,5.379724414,2.357084176,2.621017641,2.696049249,3.57619481,7.630324712,2.420047478,4.4899232,2.310040589,1.039992951,0.28997376,1.549997621,0.563992596,-0.481402831,1.374891229
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.471720285,2.351279051,0.549331891,1.695182816,1.501331458,1.817814542,1.312041019,3.142056297,1.921084544,4.940445732,17.15196385,-4.606461017,9.627611644,48.89659042,5.914022109,10.84059272,11.92709942,10.08512107,13.98783792,25.86203876,14.35399949,1.939794207,6.804795888,8.433505562,4.972526402,2.405343253,8.842020422,9.060963477,16.01137352,30.25959854,53.78860417,21.92611453,13.62442466,29.07764732,28.57703753,24.02190407,7.001963049,-3.131088699,10.856323,22.65476747,-0.481507974,1.311488107,8.328835734,12.24587584,16.11681869,10.56356014,6.423261755,15.35548006,-11.18979348,16.08171712,18.24090967,7.481337601,-0.061844145,-0.290131471,-6.571977498,0.889903894,6.800176707
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.701221779,-3.366533814,-1.361674647,2.895669461,2.819807428,11.17476097,25.75488455,-15.4185022,-0.639031235,17.3495686,2.355602289,-0.626945515,1.224997424,2.534046599,
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,7.845870992,8.518077713,11.84943386,15.9452013,16.78179541,16.48985721,23.38309256,20.63104141,16.93168907,13.35481385,12.35117322,13.58234983,11.88423525,10.86473437,8.595463761,10.87881526,5.94419881,5.936124989,6.896207148,7.326243654,6.935149041,6.710771164,4.537231746,3.879852799,4.933123527,0.797176303,2.228160168,1.499556889,2.731977636,29.2262783,2.769518099,3.400407853,2.879863449,3.350368553,3.099596888,3.200492427,3.869810711,1.980073056,-1.38E-05,1.599942786,2.499867696,1.099913621,0.000360616,-0.100367069,-0.455465515,0.699897362,0.899930122
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.100306165,0,0.01276356,0.001188112,19.03520574,-9.01306192,9.823311352,2.213774449,16.27966269,14.00743982,106.3099823,476.5157508,917.7834682,2175.978955,1825.495149,4800.531644,95.4530222,39.35934833,557.501113,418.0189915,106.3521255,142.8112051,86.11286259,40.60593031,24.04151899,14.69988848,12.0711372,19.68161029,-7.418836713,22.42234223,24.13811105,5.731266574,3.753032866,-1.311738375,-3.98089849,27.67483808,31.13637753
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,8.6352972,14.84548532,11.39879961,8.352608823,11.27270034,5.172488372,3.844227009,7.411260593,8.124942792,8.876436601,12.37060649,4.580697223,1.650263602,2.606166738,2.461610273,1.812868832,3.245327063,2.403138564,2.977132869,1.827377353,2.110121317,1.503616107,1.55207877,1.483864557,0.701495987,-0.963104283,1.641424974,4.46041552,0.408265975,3.738825165,4.38021371,1.788009653,1.440233795,1.199384563,2.480504656,-1.423553176,2.101279348,2.458768302,1.555462645,1.559252781
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.31069753,28.87184165,25.59115435,28.77461732,21.23293492,25.60346243,29.01826294,10.27531056,7.795830037,6.467874639,31.27106388,64.24478592,65.53528737,30.63044137,197.6973645,438.3227797,159.4271777,161.372172,147.377044,90.84080162,106.364099,207.6176814,382.3494349,606.7359412,625.8021403,74.4614934,127.0863764,388.4913389,3057.628836,2076.793473,132.9532282,11.92076022,-1.466659942,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,40.07469064,25.34917599
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.8072954,1391.166543,4107.29677,161.1639176,19.5917703,17.7359945,10.69849776,0.053804078,-1.373675994,4.069139932,2.369787815,4.561098399,6.309532721,3.239836249,4.619857666,4.232770382,5.989562359,2.556935054,7.768715482,4.281549998,5.345804416,3.36682464,2.30918243,1.213909902,0.268575079,2.231565794
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.934979475,-3.089109793,4.073930386,7.47549382,-1.019211522,9.14274114,4.766220794,0.616713218,-3.150534796,8.957724838,4.213696288,1.490894631,12.46248902,14.27570645,-5.132055593,,,,,,,,
