Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.13189273,71.14097429,76.30217768,82.77480692,108.0666,99.11535881,100,110.2016601,118.1563,127.2003573,133.0570866,132.1176556,137.9045637,
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.115616401,16.6771868,30.85358795,37.81571633,40.76277774,45.95003598,61.19638399,73.82906717,74.11658536,74.15365709,76.45804744,82.39923977,82.79805424,84.68586575,86.69002617,88.74521117,91.34782643,94.41642136,96.56958995,100,103.4503472,105.5520402,107.5972351,109.3256254,111.4137634,112.8344285,115.0842659
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,2.568986123,2.738539207,2.810470818,2.913230263,3.093059292,3.23842109,3.5049534,3.835496281,4.295344797,5.048057731,5.620941637,6.155932997,7.05807529,7.519850546,7.968572355,8.615333399,9.518417376,10.69599877,11.49191595,12.17126573,13.30372426,15.51913152,19.53647395,25.7236092,31.00732242,40.01422281,51.9303089,61.63041069,65.16400431,68.38972786,70.19898572,70.43707484,73.41373742,74.45496587,77.63341408,80.70909491,81.82485502,83.718711,86.79439184,91.01519489,96.23430962,100,104.5242115,113.8179305,117.5218381,120.9498642,126.7366464,134.8448702,142.3842032
American Samoa,ASM,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22E-08,4.08E-08,1.63E-07,2.41E-06,2.53E-05,0.000699938,0.029713097,0.094837289,0.196583305,0.684495013,2.909082393,7.347208236,15.34812963,30.42369853,43.67081782,53.69480503,60.8390117,68.29270166,76.81278243,87.35939555,100,113.4824679,125.1460881,136.1311793,146.0420564,161.0523262,213.1974201,280.7632773
Antigua and Barbuda,ATG,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56938073,80.46158257,81.08256881,82.21999235,84.19956859,85.87811271,87.62150502,89.46046308,91.05982416,92.34927916,97.27501092,96.73984273,100,103.4567497,106.9503604,108.0834972,109.2610037,110.3197357,109.7797892,112.4501693
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462030296,16.04982103,44.28969387,52.56353381,59.90180477,65.0967806,65.51876772,65.00059042,67.04544702,67.7561618,70.95530514,75.89468938,76.3796018,78.58877228,82.05246309,89.39612027,92.44163764,100,107.6500081,110.4037169,116.7957253,120.2777664,124.7661613,123.014934,124.2101382
Aruba,ABW,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,31.98252384,,,,39.85761765,41.46477965,41.91009745,43.43690136,44.79294429,46.58091202,49.29969441,52.03856632,54.05421533,56.87344534,60.46277381,62.49516409,64.5108131,66.44610402,67.68830631,69.23185149,72.03160231,74.1087087,76.56598673,79.3662932,81.37421125,84.13737451,87.17364959,91.87335769,100.103127,97.96455227,100,104.3163319,104.9713633,102.4811662,102.9132655,103.4021721,102.4852447,101.9919683
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,7.960457856,8.142559834,8.116545265,8.168574402,8.402705515,8.688865765,8.975026015,9.287200832,9.521331946,9.833506764,10.17169615,10.79604579,11.44640999,12.48699272,14.41207076,16.59729448,18.80853278,21.12382934,22.81477627,24.89594173,27.41935484,30.02081165,33.42872008,36.78459938,38.24141519,40.81685744,44.51092612,48.30905307,51.7950052,55.69719043,59.78147763,61.6805411,62.30489074,63.3975026,64.64620187,67.63787721,69.40686785,69.56295525,70.16129032,71.20187305,74.37565036,77.65348595,79.96878252,82.15400624,84.07908429,86.34235172,89.41207076,91.49323621,95.47346514,97.16441207,100,103.3038502,105.1248699,107.7003122,110.3798127,112.0447451,113.4755463,115.6867846
Austria,AUT,Consumer price index (2010 = 100),FP.CPI.TOTL,17.82416598,18.45554374,19.26422522,19.7860498,20.55148793,21.56486258,22.00798122,22.88272628,23.51540177,24.23976956,25.29973468,26.48990116,28.17337014,30.29512936,33.17976911,35.98188448,38.6152867,40.73704593,42.19312048,43.75738963,46.52649766,49.69171326,52.39296654,54.14245852,57.20864746,59.03332392,60.04010577,60.8818398,62.04816594,63.64177619,65.71769018,67.91097133,70.64156663,73.20711687,75.36921872,77.06002666,78.49409355,79.51921312,80.2527507,80.70938144,82.60190712,84.79085701,86.32587638,87.49607261,89.29954476,91.35266526,92.66955683,94.67914806,97.72398234,98.21876703,100,103.286582,105.8539492,107.9711964,109.7050023,110.6885793,111.6754703,113.9997367
Azerbaijan,AZE,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043110669,0.038527963,0.473123395,8.337455924,42.66773457,51.11372849,52.9918248,52.58235809,48.09962267,48.96782232,49.72545046,51.1034246,52.24500608,55.75008719,61.14642096,66.26686089,77.26408948,93.32851379,94.63609867,100,107.8523838,109.0043584,111.641032,113.1925369,117.7309219,132.3878277,149.4723329
"Bahamas, The",BHS,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,13.9623369,14.72157478,15.39008612,16.76530945,17.79672695,18.61804089,19.88980413,20.9801143,23.7226025,26.18017753,27.2943631,28.16501954,29.8856404,32.6026615,36.54687842,40.60888067,43.05053877,44.77256032,46.54839504,48.69195312,51.33776748,54.29300759,56.68320937,59.73710697,62.52642313,66.9749788,70.81813627,72.74644165,73.76440752,75.2891141,76.32745444,76.74279057,77.76854497,78.74395559,80.00884292,81.64501557,83.41963361,85.94311528,86.78700279,88.16831009,90.27537954,92.52556374,96.6795544,98.67379715,100,103.1987814,105.2352727,105.9955079,107.5928587,109.6029778,109.2233384,110.8815748
