Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.3835767,518.8161544,470.0884382,479.0367127,441.0280541,470.7632063,480.2180835,510.3248293,538.3968709,525.5505746,551.8693611,522.2677196,505.4833292,524.3851575,509.457088,
Albania,ALB,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.522172,1509.239489,1408.975796,1460.217524,1508.049459,1515.017399,1635.513416,1823.14862,2002.720118,2134.132517,2248.792892,2507.786789,3067.584519,3110.286057,3177.049419,3242.16829,3251.750104,3317.342271,3416.906118,3457.992263,3552.286875,3657.160838
Algeria,DZA,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,768.7133906,569.5007915,444.4818642,767.730795,818.7534752,840.1571908,659.4033317,643.9485399,675.3699837,707.4060902,762.2548732,784.3379174,896.3446358,884.8213798,1075.890795,1163.985191,1222.573347,1317.50047,1279.728121,1362.265721,1458.770908,1539.062506,1520.63186,1568.164399,1599.809644,1649.935371,1587.762236,1454.907681,1290.933615,1397.21554,1313.925232,1187.684402,1216.206934,1159.662083,1129.68732,1131.505925,1085.279356,1044.967694,1051.089807,1067.008386,1077.969013,1114.406318,1145.751214,1181.641172,1240.222153,1278.100975,1300.012907,1347.977892,1416.942599,1477.492881,1531.860129,1592.400188,1639.517362,1686.796475,1725.42911,1758.629659,1783.802744,
American Samoa,ASM,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7437.620637,7567.536897,7869.232666,7799.428502,7699.753643,7653.309955,7585.453712,7468.600634,7225.407553,6942.570357,6820.155085,7039.589612,7080.17997,7029.434445,6964.663869,
Andorra,AND,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.0724855,892.1044403,633.4351658,740.8746282,782.0001302,883.3669834,575.5977495,1062.632223,1159.944634,1624.652574,1710.571133,1641.459378,1640.909156,1867.353308,2042.677056,3123.653859,3582.466884,3542.935612
Antigua and Barbuda,ATG,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830.680721,5057.521718,4775.769814,4979.630631,5363.891532,5487.864999,5318.556441,5225.104449,4870.69084,4125.536778,4413.624963,4780.576458,5079.321478,5576.927835,6034.99641,6406.15175,5998.425854,6600.864962,7144.242782,7148.086503,7331.026653,6939.487724,7120.933584,6978.459604,7157.360651
Armenia,ARM,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.662587,1207.451179,1062.158691,795.9283873,860.8337294,958.5283834,1010.631924,1096.451377,1163.626187,1187.429191,1294.125479,1401.730494,1534.916181,1654.547854,1812.684608,1984.809405,2165.922636,2474.046366,2629.398426,2531.262795,2638.980305,2716.801411,2957.381916,2972.048947,2988.640613,2745.390441,2707.888911,2940.518887
Aruba,ABW,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14290.98074,,,,,,,
