Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38548244,22.37351707,25.93558204,26.53036849,27.86972021,26.60901164,26.70104173,21.77640153,21.04463784,22.5815595,20.99520665,20.40632187,21.12375692,22.03047123,21.70399519,
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,44.999999,43.00006186,43.80017045,43.30004981,43.99999913,43.30012615,44.20011475,45.80015166,46.29997531,44.80006341,48.20079786,42.6969058,23.32055881,22.90170682,21.73068405,22.49794167,14.38965454,14.19566716,11.64594009,12.56678356,14.81867528,16.4388412,17.46509574,20.45448807,21.6319758,22.10098528,22.8892517,21.83372069,25.16102246,24.41367287,24.93748687,24.48440846,22.91851297,23.06133801,21.50885745,21.76365481,21.13073352,21.14748955
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,29.36926408,29.45508896,31.6975082,40.81855755,42.66408177,42.21498678,46.51801744,47.82451729,47.66300645,47.81647385,47.94997624,43.6525608,51.19531582,57.12867404,55.02174701,46.4086701,50.12614727,50.90690932,49.20487193,50.82061094,53.78461319,52.6123278,51.87861586,51.17672103,50.67264399,49.26192701,43.87312002,42.10689028,41.43061518,41.90881222,44.02662887,48.22972476,45.9168078,45.03430467,44.94133265,45.82537728,47.06225828,48.15480866,42.25048463,45.36518533,54.37147769,50.10639089,49.18503314,50.8246611,52.29995225,57.33401543,58.88449486,57.67405931,58.62068248,47.8988967,50.4953995,49.62329224,47.8494723,44.25329616,42.3105733,35.66027007,34.87490844,36.28012182
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09311915,14.54866093,14.91738207,15.4004329,15.73943275,15.82097648,16.09372842,15.46170097,15.48457135,14.38525912,13.45661226,12.4027752,11.02427102,10.2524993,9.90754123,9.783363312,9.844718945,
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,44.24729248,47.25984237,41.34461783,38.11324549,32.7635873,29.7650365,42.85714286,36.84210526,46.93877551,61.25940127,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,11.53110382,10.37717038,11.58806401,13.06451151,13.31378098,10.41335714,10.22115069,10.91623225,11.72984941,12.95760177,13.80335909,14.2363267,15.25180193,13.9102115,14.56416008,13.4824356,12.70763717,12.52557479,12.69588325,12.24718856,12.51282197,12.65880381,13.51181839,13.82711393,12.8781391,13.04232482,13.19529465,13.05575514,14.5297874,18.46274484,17.75960835,19.15681322,19.48801069,16.13951881,14.47480131,14.11810451,15.5311999,15.80404819,16.11855668,17.51248297,18.15740979
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.3387391,26.75458359,26.3011238,26.59252856,27.17912033,26.71206471,26.19337761,25.9909484,25.24351337,30.55777721,32.64509144,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.18749786,21.7366476
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78374081,46.56795081,36.15525968,25.84243826,35.81802897,30.80232586,30.78875098,30.54598002,27.90676002,29.4595444,35.42057926,32.88788417,35.20313853,38.17001732,37.67476784,41.40288501,40.8678288,39.50928646,38.60136612,32.0155135,32.86572489,30.14570406,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.29130566
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28769425,15.14382403,14.93927126,17.14077316,17.51090238,15.54927184,15.82535158,15.92979312,15.29056917,16.91343318,17.94856366,18.92846016,20.18046161,20.26990484,18.92044397,14.89283694,14.77364569,14.63320789,,,,,,
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.86115058,27.73152828,26.9487429,26.90473828,26.86057946,26.51026049,26.05444665,25.29250429,25.43611003,24.71083461,24.64958486,23.69438934,23.64144239,24.07310261,23.91948524,24.58376386,25.59828626,25.5913265,25.53130505,26.92747846,25.06375671,26.34294971,26.18873597,25.0373236,25.41766514,23.54903528,22.25826161,23.04841103
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,33.99859576,33.60220584,33.84238345,32.9180396,32.93730588,32.54626093,31.766131,31.29685225,30.11462225,30.44744481,30.25928448,29.75262208,29.51826397,29.28321942,29.56086365,29.50525765,29.01589762,28.30376845,28.41340021,28.85153199,28.75200887,28.67638394,28.51066285,28.42859216,28.28480203,28.20874614,27.38807848,27.49837986,27.37376782,27.0742426,27.25937083,27.57263882,26.96021414,25.79284583,25.53499425,25.44743204,25.63396853,25.52494179,25.36241984,25.02728574,24.7109938,25.26632337
