Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570737945,1732142605,2034740629,2299088239,2613317093,2812794814,2974300439,3155945296,3353841977,3682773745,3968203039,4116546712,4230445839,4406891916,4371467337,
Albania,ALB,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,1396185314,1410787960,1479407721,1478679516,1483777398,1486172163,1602582312,1647512837,1641847183,1744924184,1640389543,981099337.1,576303979.4,590543528.7,618403017,696321358.3,806712642,626026293.7,705029717.3,861614487.1,980345182.5,1132611101,1197761186,1511613889,1676225007,1832346724,2041931929,2033603605,2829455303,2882432064,2974282403,3086929164,2811965638,2817778156,2710067929,2780061775,2837698403,3030461586
Algeria,DZA,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,8292615404,7519541345,6377454986,14268366035,15879187621,16639847589,18814992855,21642679863,23709065137,25884210357,28168108378,22730250687,33442833318,35291705880,28548761037,27678702964,31430826235,33877862397,38065014746,39098203762,38574322038,38237217099,41861320312,44014754057,46084263189,47075280185,48433819915,48385244735,47972082662,48462657710,49698665751,49158405521,48924445584,48208436105,47094052196,48454989100,49935062621,51785063240,54082939026,56541201509,58871143722,59386890597,62642440666,66828627725,69803022426,74192207910,75757453391,77633513945,79147377863,79281885881,81402254331,82400273131,84586398768,85543336709,88468467766,91270921632,96148989584,96697038825
American Samoa,ASM,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451562913.9,,,,,,,
Angola,AGO,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,35205052.45,35953438.72,43148511.48,51542906.1,58230764.94,46239654.75,45985053.17,50426528.39,59738540.59,73472545.71,90361592.38,99183551.5,110735549.6,105139018.6,109786182.1,107370367.3,100811935.5,105344625.7,107622672.1,119542155.2,128211910.6,137976638.3,148941052.6,158655857.5,129676243.9,137486719.3,149376180.3,152098493.4,181846210.4,246309163.4,266255212.4,267190465.7,248968443,186002963,161392989.5,165806744.5,174755324.9,182129562.3,188029430.5,208746358.8,232854028.7
Argentina,ARG,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,44520929440,45014992302,46919612669,51364874559,57295550195,56762557913,60355211198,62240643914,62742142872,66530201794,65804352257,66169993445,71879861650,65888747749,70857685229,69609709089,61987566431,59644220236,62840288604,62987457226,56862702379,63144823791,65449245140,62997659742,56663081234,53727521923,60084168047,67449131251,71706056603,75804309119,71461403950,76101543112,83657505062,86482338536,80731435202,78013071528,72937692369,62863509626,73230595144,83073837932,88502201578,96170848625,1.02E+11,1.05E+11,98344013165,1.07E+11,1.13E+11,1.11E+11,1.11E+11,1.08E+11,1.09E+11,1.03E+11,1.06E+11
Armenia,ARM,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4046143988,3400386867,919715219,926010159.7,1006863865,1014730983,1075417285,1096096458,1105988668,1172507489,1450667967,1525451790,1850946019,2308703912,2479178190,2846033542,3317548348,3691137631,3965515821,2833251204,3043459772,3097274732,3251876631,3268558758,3193774134,3283423374,3273080590,3449597826
Aruba,ABW,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364569832.4,,,,,,,
