Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6609993,52.8030014,52.95700073,53.06800079,53.13299942,53.18500137,53.10300064,53.00400162,52.93000031,52.90200043,52.91799927,53.19400024,53.52500153,53.84799957,54.11500168,54.30899811,53.97100067,53.61199951,53.2879982,53.06399918,52.97499847,53.29000092,53.73099899,54.25899887,54.81999969,55.37599945,55.73199844,55.74200058
Albania,ALB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.10600281,69,69.02700043,68.65599823,68.22399902,67.60099792,67.50800323,68.08599854,68.03700256,67.79499817,67.67700195,67.29799652,66.9980011,66.06800079,65.12200165,64.1969986,63.50299835,62.90299988,62.37099838,62.19499969,62.17100143,63.53099823,64.88899994,61.11399841,62.31700134,65.07800293,65.11000061,65.17299652
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.54000092,46.81399918,46.89400101,47.20600128,47.44300079,47.40800095,47.37099838,47.0359993,46.72200012,46.43299866,46.16999817,45.93799973,45.73699951,45.56600189,45.42300034,45.30599976,45.2179985,45.14799881,45.10300064,45.09199905,45.35499954,45.62799835,45.92900085,47.01200104,44.80799866,44.87599945,44.92699814,45.10100174
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.81900024,78.83200073,78.76200104,78.66899872,78.51699829,78.35900116,78.35500336,78.33300018,78.29100037,78.23300171,78.16200256,78.19200134,78.20500183,78.17900085,78.14299774,78.09799957,78.16400146,78.19599915,78.22399902,78.26499939,78.28700256,78.36699677,78.40000153,78.38999939,78.34700012,78.26599884,78.18399811,78.14800262
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.08100128,66.52300262,66.98500061,67.21199799,67.48999786,67.3789978,67.73000336,68.26799774,68.64499664,68.6989975,68.87999725,68.89600372,68.54299927,69.14800262,69.7519989,69.16300201,69.53299713,68.91999817,68.2990036,68.68000031,67.14099884,68.36199951,68.44100189,68.16400146,67.41699982,67.64600372,67.7009964,67.68499756
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.13499832,62.33800125,62.48899841,62.57899857,62.58800125,62.50699997,62.30199814,62.0379982,61.74399948,61.45600128,61.20000076,61.11600113,61.07699966,61.08200073,61.12599945,61.20500183,61.33499908,61.48699951,61.59199905,61.95199966,64.76100159,66.0019989,65.84799957,66.38200378,66.1740036,65.46399689,65.67500305,66.06999969
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
