Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5045.010265,,,,,4545.616685,,,,,4022.371723,,,,,3608.177761,,,,,3698.142184,,,,,4099.01588,,,,,3372.378298,,,,,2565.064367,,,,,2145.139453,,,,,1771.438121,,,,,1535.982816,,1439.342182,,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,15718.86948,,,,,13685.40261,,,,,11992.19304,,,,,10702.01222,,,,,9661.391571,,,,,8723.555708,,,,,8284.470867,,,,,8544.345311,,,,,8816.752485,,,,,9057.187215,,,,,9274.579618,,9310.845162,,,
Algeria,DZA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,962.348397,,,,,842.4317838,,,,,731.6077233,,,,,635.9459008,,,,,546.7614445,,,,,470.3590788,,,,,413.8906256,,,,,376.4198683,,,,,351.6169347,,,,,327.9876115,,,,,299.4741474,,287.6258526,,,
American Samoa,ASM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20533.50683,,,,,15203.77686,,,,,11735.83222,,,,,9630.465961,,,,,8068.722197,,,,,6513.259726,,,,,5359.326179,,,,,4906.182474,,,,,4505.417636,,,,,3816.987773,,,,,3828.656695,,3983.691605,,,
Angola,AGO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,25229.87743,,,,,23070.9455,,,,,20860.24846,,,,,18201.97004,,,,,15445.37576,,,,,13192.76737,,,,,11412.40459,,,,,9808.482097,,,,,8422.179263,,,,,7048.395378,,,,,5897.318911,,5497.676006,,,
Antigua and Barbuda,ATG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,909.9818004,,,,,820.7070707,,,,,751.7057939,,,,,713.5506003,,,,,717.7561837,,,,,766.4529442,,,,,759.9339442,,,,,668.9049255,,,,,602.7867294,,,,,569.0460818,,,,,537.3177511,,525.9165613,,,
Argentina,ARG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,13716.85278,,,,,12733.18573,,,,,11782.29435,,,,,10863.6752,,,,,10071.0537,,,,,9321.189781,,,,,8676.235029,,,,,8148.692655,,,,,7706.647009,,,,,7305.438168,,,,,6936.404266,,6793.61814,,,
Armenia,ARM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.267944,,,,,2189.215361,,,,,2260.788682,,,,,2338.516551,,,,,2380.008897,,2360.110384,,,
Aruba,ABW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
