Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,97.67442275,137.9010395,121.1358187,104.8624006,100.5553494,76.17376109,73.06552024,56.90681742,54.9673281,50.30122207,44.65924776,56.06566994,52.34157719,55.80373195,55.92122685,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,45.82507495,44.49760558,43.25253868,39.00562196,36.79042982,34.68540615,30.5250142,31.02880802,35.60030574,38.65852973,38.06578311,34.81638627,100.0026865,77.71506891,50.30201214,46.98742199,43.22020295,43.93564972,45.48134083,48.029748,55.92042872,57.43036125,63.93424074,65.44062195,66.35782544,70.2953012,73.45504917,82.87242263,77.45171109,75.09490534,76.54347155,81.21854854,76.51017347,75.87378246,75.40783394,71.8010161,74.6692622,78.07561319
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,106.1868043,113.7483279,40.61251936,61.5101972,54.52382126,48.43702191,50.63976952,45.06618609,47.32288896,51.8595349,51.22540181,46.10629668,46.17643028,57.09342653,74.23881924,76.65453541,70.17325688,72.32688423,65.70456889,64.01404929,64.67692316,65.46499364,59.92293127,53.74411736,53.17638369,50.32612063,36.02671057,32.68458447,38.11158728,47.15331971,48.38071368,52.71758671,49.18908424,44.92281337,48.58443779,55.19100521,53.70514788,52.24391151,45.09445056,50.92911545,62.85834408,58.70616249,61.13416484,62.12477208,65.70142617,71.2785976,70.73001408,71.93812694,76.68452205,71.32432835,69.86666176,67.47227545,65.40497893,63.61082358,62.14577676,59.73289741,56.27204229,60.36677746
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5330739,205.6925996,200.5859375,221.0735586,227.6209677,216.5384615,247.7797513,160.1769912,156.4236111,155.7491289,174.689441,171.2948518,171.6951788,164.491654,158.5106383,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,88.49458497,94.51968474,82.68923566,76.22649097,65.5271746,59.53007299,57.14285714,97.36842105,100,,,,,,,152.5471095,150.3357947,124.9599145,130.4536697,124.3951502,139.6574324,118.7745178,117.4738078,127.5449739,110.3163705,105.2672097,107.5156755,103.3234371,95.06861627,90.26196917,70.32683428,59.43420484,57.5864444
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,85.63323093,101.9158425,132.9673542,128.948064,142.1064116,146.8396256,115.9745102,133.0218783,140.6591231,171.9306228,157.2269185,137.8007825,143.5404841,149.2721269,151.0740638,158.9730005,156.5448057,145.6298082,145.6021783,137.2647696,135.4032631,131.3194081,130.7952567,116.2817894,116.3806898,110.7645399,116.566019,122.4814602,120.1330801,118.1137916,115.4232075,115.2835995,103.5815824,104.3640827,103.2468586,102.7987641,106.1544657,104.1558171,93.24069744,88.7302849,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315153,18.13422545,19.77150099,21.50635817,23.3361447,23.34994435,21.38265679,22.62250234,21.85242285,41.7527513,40.64468975,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.12191381,25.01457887
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767594,107.9731463,112.428831,86.11485496,79.22956157,78.54774452,71.84245314,70.56041951,73.91856775,71.61719663,75.9434196,82.18764655,75.03721018,72.03892547,62.60919306,58.33645838,55.70286212,58.47886987,66.14728669,71.11086512,75.96674339,76.55619579,75.61168484,71.59326535,75.91788003,88.45348405
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.9848803,171.319797,175.3441296,168.781911,163.2673599,164.5912037,145.0728795,139.0219564,134.3349949,133.9600844,133.6532435,146.4810066,143.4648997,142.3633069,141.1872875,140.0629095,136.3187909,157.2084156,,,,,,
