Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.02799988,63.979002,69.55699921,75.27799988,73.61199951,72.20700073,73.88800049,75.45999908,76.9659996,78.48899841,80.16400146,76.99399948,73.6780014,74.20200157,73.78800011,73.11199951,71.91100121,71.3409996,68.95599937,67.25799942,66.67799759,65.3730011,65.09700203,65.33399963,65.80599785,66.00399971,66.0929985
Albania,ALB,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72999954,61.45400047,70.06299973,70.52400017,69.34300041,69.39400101,59.76099968,68.46300125,69.49899673,66.11600113,66.38400078,64.19099808,64.25499916,64.05600166,63.35000038,62.99500084,62.52000046,57.48500061,57.13600159,54.60300064,59.03800011,62.66799736,57.9129982,56.45400047,56.6099987,56.99700165,57.1970005
Algeria,DZA,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23200035,33.22700024,32.822999,32.58399963,32.74799919,32.60300064,32.03499985,32.06500101,31.64599943,31.63000107,31.13199997,29.30200052,29.12799931,34.55800056,30.49299955,29.89599991,29.82099938,29.28299952,30.3179996,29.84300089,29.5139997,26.70699906,26.93800044,27.0599997,27.73000038,27.8259995,27.86400068
American Samoa,ASM,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.82899737,68.03099823,64.32999849,63.83000088,64.22300053,63.60999918,63.80700016,65.03499842,62.10699844,61.11499977,62.10100079,62.08499956,61.84299946,61.59500074,70.86600018,70.05700207,69.37899971,68.32300091,67.78500128,67.75500011,67.64400101,67.56800079,67.44599915,67.67999887,67.11900139,66.54799843,66.61400032
Antigua and Barbuda,ATG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.87699926,24.38000035,25.39200091,25.00700021,24.14100039,24.51299953,23.63600087,23.2699995,23.06700051,22.83100092,23.75799906,24.625,22.70500076,21.69400048,21.36899984,20.3470003,19.25400025,19.18700069,19.67399913,19.48999989,19.67000097,19.64700007,20.50799954,21.30199927,21.40200084,21.11299914,20.86899942
Armenia,ARM,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.26400089,30.6170001,43.71199894,55.23799896,56.38199997,54.00300026,50.52200127,58.63000107,56.57999992,56.89599991,58.32900047,60.24200058,58.88499832,56.11700058,56.9090004,55.46100044,54.79399872,49.82600021,42.53300095,42.4649992,43.18699932,42.55000019,42.197999,43.29900169,41.8759985,40.32800007,43.00500011
Aruba,ABW,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
